,Wavenumber,10F74
0,1200,0.0035714979999999998
1,1198,0.004769547
2,1196,0.00586625
3,1194,0.006772495
4,1192,0.007467644
5,1190,0.008021861
6,1188,0.008487636
7,1186,0.008907455
8,1184,0.009140011
9,1182,0.008887107
10,1180,0.007747977
11,1178,0.0056176509999999995
12,1176,0.0028547620000000003
13,1174,0.000215687
14,1172,-0.0016293770000000002
15,1170,-0.002326673
16,1168,-0.0019540029999999997
17,1166,-0.0009717819999999999
18,1164,-5.111e-05
19,1162,0.000292001
20,1160,-0.000194584
21,1158,-0.001543666
22,1156,-0.00356928
23,1154,-0.005791236999999999
24,1152,-0.007456587
25,1150,-0.007841743
26,1148,-0.006520046999999999
27,1146,-0.0036689559999999997
28,1144,2.012e-06
29,1142,0.003531931
30,1140,0.006139296
31,1138,0.007351171
32,1136,0.007153138000000001
33,1134,0.005907911
34,1132,0.0042722490000000005
35,1130,0.0027311370000000002
36,1128,0.001550915
37,1126,0.0007188689999999999
38,1124,0.000145229
39,1122,-0.000278447
40,1120,-0.00037082099999999997
41,1118,9.8496e-05
42,1116,0.001303559
43,1114,0.002845765
44,1112,0.004053653
45,1110,0.004162927
46,1108,0.0030132170000000003
47,1106,0.0010844239999999998
48,1104,-0.00042117699999999996
49,1102,-0.000350783
50,1100,0.002009988
51,1098,0.006065121
52,1096,0.010342219
53,1094,0.012809363
54,1092,0.012231299
55,1090,0.00827976
56,1088,0.001961674
57,1086,-0.005325875
58,1084,-0.011840995
59,1082,-0.016557874
60,1080,-0.018947213
61,1078,-0.019344852
62,1076,-0.017973074
63,1074,-0.015408946000000001
64,1072,-0.011890925
65,1070,-0.008032636
66,1068,-0.00416769
67,1066,-0.0009671460000000001
68,1064,0.001260101
69,1062,0.002026127
70,1060,0.0015185620000000002
71,1058,4.1193000000000004e-05
72,1056,-0.001310414
73,1054,-0.0019335370000000001
74,1052,-0.0015278770000000002
75,1050,-0.000628262
76,1048,0.00031404400000000003
77,1046,0.000606077
78,1044,0.000179517
79,1042,-0.000917113
80,1040,-0.002089974
81,1038,-0.0032971259999999996
82,1036,-0.004397474
83,1034,-0.005434143000000001
84,1032,-0.0061640490000000004
85,1030,-0.006683771
86,1028,-0.006934405
87,1026,-0.007198578000000001
88,1024,-0.007524183
89,1022,-0.008029869
90,1020,-0.008281075
91,1018,-0.007854056
92,1016,-0.006360731999999999
93,1014,-0.0037979940000000003
94,1012,-0.000239915
95,1010,0.003739969
96,1008,0.0075098940000000005
97,1006,0.010333155
98,1004,0.011643985
99,1002,0.011006311999999999
100,1000,0.008535165
101,998,0.004887135
102,996,0.001143834
103,994,-0.0016172089999999999
104,992,-0.0024759170000000002
105,990,-0.00112654
106,988,0.00189379
107,986,0.005414561
108,984,0.008196143000000001
109,982,0.009318042
110,980,0.008466673000000001
111,978,0.006001443
112,976,0.002668181
113,974,-0.0007515239999999999
114,972,-0.003628002
115,970,-0.005517541999999999
116,968,-0.006237886
117,966,-0.00586666
118,964,-0.004642678
119,962,-0.002849006
120,960,-0.000808605
121,958,0.0012523789999999999
122,956,0.0031515759999999997
123,954,0.0047674
124,952,0.005947651
125,950,0.006580206
126,948,0.006588234
127,946,0.006053541999999999
128,944,0.005100293
129,942,0.003872951
130,940,0.0025135120000000003
131,938,0.001330244
132,936,0.0005892
133,934,0.00046917800000000005
134,932,0.00097905
135,930,0.001922313
136,928,0.002764866
137,926,0.002883642
138,924,0.001839785
139,922,-0.00030041700000000003
140,920,-0.003116983
141,918,-0.005806451999999999
142,916,-0.007474559
143,914,-0.007514666
144,912,-0.005931906999999999
145,910,-0.0032154
146,908,-0.000176482
147,906,0.00241017
148,904,0.003953582
149,902,0.004389775
150,900,0.0040381309999999995
